event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market,spread_f1,spread_f2
2023-10-15 20:26:00,Caesars,Detroit Lions,Tampa Bay Buccaneers,-120,100,spreads,-3.0,3.0
2023-10-15 20:26:00,LowVig.ag,Detroit Lions,Tampa Bay Buccaneers,-170,150,h2h,,
2023-10-15 20:26:00,LowVig.ag,Detroit Lions,Tampa Bay Buccaneers,-115,104,spreads,-3.0,3.0
2023-10-15 20:26:00,BetOnline.ag,Detroit Lions,Tampa Bay Buccaneers,-169,150,h2h,,
2023-10-15 20:26:00,BetOnline.ag,Detroit Lions,Tampa Bay Buccaneers,-125,105,spreads,-3.0,3.0
2023-10-15 20:26:00,Bovada,Detroit Lions,Tampa Bay Buccaneers,-175,150,h2h,,
2023-10-15 20:26:00,Bovada,Detroit Lions,Tampa Bay Buccaneers,100,-120,spreads,-3.5,3.5
2023-10-15 20:26:00,BetRivers,Detroit Lions,Tampa Bay Buccaneers,-175,140,h2h,,
2023-10-15 20:26:00,BetRivers,Detroit Lions,Tampa Bay Buccaneers,-108,-113,spreads,-3.5,3.5
2023-10-15 20:26:00,Unibet,Detroit Lions,Tampa Bay Buccaneers,-175,140,h2h,,
2023-10-15 20:26:00,Unibet,Detroit Lions,Tampa Bay Buccaneers,-108,-113,spreads,-3.5,3.5
2023-10-15 20:26:00,TwinSpires,Detroit Lions,Tampa Bay Buccaneers,-175,140,h2h,,
2023-10-15 20:26:00,TwinSpires,Detroit Lions,Tampa Bay Buccaneers,-108,-113,spreads,-3.5,3.5
2023-10-15 20:26:00,MyBookie.ag,Detroit Lions,Tampa Bay Buccaneers,-170,139,h2h,,
2023-10-15 20:26:00,MyBookie.ag,Detroit Lions,Tampa Bay Buccaneers,-120,100,spreads,-3.0,3.0
2023-10-15 20:26:00,PointsBet (US),Detroit Lions,Tampa Bay Buccaneers,-170,140,h2h,,
2023-10-15 20:26:00,PointsBet (US),Detroit Lions,Tampa Bay Buccaneers,-105,-115,spreads,-3.5,3.5
2023-10-15 20:26:00,WynnBET,Detroit Lions,Tampa Bay Buccaneers,-169,145,h2h,,
2023-10-15 20:26:00,WynnBET,Detroit Lions,Tampa Bay Buccaneers,-115,-105,spreads,-3.0,3.0
2023-10-15 20:26:00,BetMGM,Detroit Lions,Tampa Bay Buccaneers,-165,135,h2h,,
2023-10-15 20:26:00,BetMGM,Detroit Lions,Tampa Bay Buccaneers,-120,100,spreads,-3.0,3.0
2023-10-15 20:26:00,Barstool Sportsbook,Detroit Lions,Tampa Bay Buccaneers,-170,145,h2h,,
2023-10-15 20:26:00,Barstool Sportsbook,Detroit Lions,Tampa Bay Buccaneers,-120,100,spreads,-3.0,3.0
2023-10-15 20:26:00,FanDuel,New York Jets,Philadelphia Eagles,265,-330,h2h,,
2023-10-15 20:26:00,FanDuel,New York Jets,Philadelphia Eagles,-112,-108,spreads,7.0,-7.0
2023-10-15 20:26:00,DraftKings,New York Jets,Philadelphia Eagles,230,-285,h2h,,
2023-10-15 20:26:00,DraftKings,New York Jets,Philadelphia Eagles,-112,-108,spreads,7.0,-7.0
2023-10-15 20:26:00,BetUS,New York Jets,Philadelphia Eagles,256,-310,h2h,,
2023-10-15 20:26:00,BetUS,New York Jets,Philadelphia Eagles,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,SuperBook,New York Jets,Philadelphia Eagles,260,-330,h2h,,
2023-10-15 20:26:00,SuperBook,New York Jets,Philadelphia Eagles,-110,-110,spreads,7.0,-7.0
2023-10-15 20:26:00,Caesars,New York Jets,Philadelphia Eagles,250,-320,h2h,,
2023-10-15 20:26:00,Caesars,New York Jets,Philadelphia Eagles,-120,100,spreads,7.0,-7.0
2023-10-15 20:26:00,LowVig.ag,New York Jets,Philadelphia Eagles,250,-300,h2h,,
2023-10-15 20:26:00,LowVig.ag,New York Jets,Philadelphia Eagles,-107,-103,spreads,7.0,-7.0
2023-10-15 20:26:00,BetOnline.ag,New York Jets,Philadelphia Eagles,250,-303,h2h,,
2023-10-15 20:26:00,BetOnline.ag,New York Jets,Philadelphia Eagles,-112,-108,spreads,7.0,-7.0
2023-10-15 20:26:00,Bovada,New York Jets,Philadelphia Eagles,250,-300,h2h,,
2023-10-15 20:26:00,Bovada,New York Jets,Philadelphia Eagles,-115,-105,spreads,7.0,-7.0
2023-10-15 20:26:00,BetRivers,New York Jets,Philadelphia Eagles,240,-315,h2h,,
